,user_id,created_time,object_type,url,page_type,url_split
15972,86006,Wed Jun 20 05:23:29 2018,,betaRegistration/?code=AQRpmH3iuLngT1iMXofNGGOAWfMHabko1QYrx5hzM8NXubIoDQPeD_JQnJyOVFEKyCLAIjKmOXGtb5FEKCeC_RYRIEcQ4lVUuFPYZ599r6_nU__uugy-DdV1gDLXpkhtaYi7IMueAh6own-_1LOz5XVI8RvGLA&state=123456789,beta registration,betaRegistration
15973,86006,Wed Jun 20 05:24:35 2018,,myGroups,mygroups,myGroups
15974,86006,Wed Jun 20 05:24:43 2018,,pendingGroups,pending groups,pendingGroups
15975,86096,Mon Jun 25 22:09:59 2018,,betaRegistration/,beta registration,betaRegistration
15976,86096,Mon Jun 25 22:11:19 2018,,myGroups,mygroups,myGroups
15977,86096,Mon Jun 25 22:11:28 2018,,pendingGroups,pending groups,pendingGroups
15978,86096,Mon Jun 25 22:11:41 2018,,discoverGroups,discover groups,discoverGroups
15979,86096,Mon Jun 25 22:12:18 2018,,discussions,discussion,discussions
15980,86096,Mon Jun 25 22:12:21 2018,,library/,library,library
15981,86096,Mon Jun 25 22:12:23 2018,,main-home,main home,main-home
15997,90070,Sat Jun  9 02:38:48 2018,,group-home/109,group home,group-home
15998,90070,Sat Jun  9 02:38:48 2018,2.0,group-home/109,group page,group-home
16089,90088,Thu Jun 14 21:58:15 2018,,main-home,main home,main-home
16090,90088,Thu Jun 14 21:58:27 2018,,main-home,main home,main-home
16091,90088,Thu Jun 14 21:58:56 2018,,main-home,main home,main-home
16092,90088,Thu Jun 14 21:59:11 2018,,search?search_text=29861&object_type=0,search,search
16093,90088,Thu Jun 14 21:59:17 2018,,discussions,discussion,discussions
16094,91039,Sat Jun  2 05:46:00 2018,,email-notification?src=w&sec=group,notification,email-notification
16095,91039,Sat Jun  2 05:46:31 2018,,email-notification?src=w&sec=group,notification,email-notification
16126,93630,Mon Jun  4 22:24:56 2018,14.0,document-reader/12193ee4-635e-11e8-b504-022ab9c25860/3/29627/3/?track_id=5b116b67c803a04d703178de&src=w,document detail,document-reader
16127,93630,Mon Jun 25 21:46:07 2018,3.0,discussions-about/29974/,discussion page,discussions-about
16129,93630,Mon Jun 25 21:47:01 2018,3.0,discussions-about/29976/?track_id=5b2d1ae3c803a07bcc7b2514&src=w,discussion page,discussions-about
16131,93630,Fri Jun 29 20:49:20 2018,3.0,discussions-about/29976/,discussion page,discussions-about
16133,93630,Fri Jun 29 20:51:31 2018,3.0,discussions-about/29974/,discussion page,discussions-about
16158,94677,Tue Jun 26 15:22:34 2018,,main-home,main home,main-home
16159,94677,Tue Jun 26 15:23:11 2018,3.0,discussions-about/30108/0/,discussion page,discussions-about
16161,94677,Tue Jun 26 15:23:26 2018,,main-home,main home,main-home
16162,94677,Tue Jun 26 15:23:31 2018,3.0,discussions-about/30107/0/,discussion page,discussions-about
16164,94677,Tue Jun 26 15:23:54 2018,,main-home,main home,main-home
16165,94677,Tue Jun 26 15:24:02 2018,,search?tags=Launch%20Pilot%20Journeys,search,search
16167,94700,Wed Jun  6 17:53:57 2018,14.0,document-reader/8d227ff1-68ce-11e8-b504-022ab9c25860/1886/29725/1886/?track_id=5b17b83bc803a01f2c7c4d2a&src=d,document detail,document-reader
16168,94700,Thu Jun 14 07:33:26 2018,3.0,discussions-reply/29270/31104?track_id=5b21428ec803a01a5d79e3bb&src=n,discussion page,discussions-reply
16171,94700,Thu Jun 28 00:07:26 2018,14.0,document-reader/e8080df9-794b-11e8-9f39-06e1b31daef4/1885/30121/1885/0/1?track_id=5b33676dc803a037bf3ce95c&src=d,document detail,document-reader
16172,94700,Thu Jun 28 00:08:05 2018,,group-library/1885,library,group-library
16173,95204,Fri Jun 22 21:25:46 2018,,email-notification?src=w&sec=group,notification,email-notification
16174,95204,Fri Jun 22 21:28:18 2018,,notification,notification,notification
16175,97042,Sat Jun 30 00:33:16 2018,3.0,discussions-about/30093/?track_id=5b36568bc803a07cb07225d5&src=w,discussion page,discussions-about
16177,97699,Wed Jun 20 22:04:48 2018,3.0,discussions-about/29765/0/,discussion page,discussions-about
16189,101628,Mon Jun 11 06:37:51 2018,4.0,status/29760/?track_id=5b1aa81bc803a071940cad64&src=w,status,status
16191,102447,Fri Jun 29 22:04:11 2018,,email-notification?src=w&sec=group,notification,email-notification
16192,102447,Fri Jun 29 22:06:59 2018,,email-notification,notification,email-notification
16193,102447,Fri Jun 29 22:07:15 2018,,manageAccount/,manageaccount,manageAccount
16271,103892,Fri Jun 15 22:07:37 2018,4.0,status/29878/?track_id=5b23e3e2c803a00b9b0f5e0e&src=w,status,status
16273,104467,Fri Jun  8 23:54:07 2018,3.0,discussions-about/29686/,discussion page,discussions-about
16275,105327,Sat Jun 16 21:36:26 2018,3.0,discussions-reply/29841/?track_id=5b23e407c803a0099f44b187&src=w,discussion page,discussions-reply
16278,105327,Sun Jun 17 13:38:14 2018,3.0,discussions-reply/29841/,discussion page,discussions-reply
16279,105944,Fri Jun 22 06:11:20 2018,,main-home,main home,main-home
16306,107603,Tue Jun 19 22:48:47 2018,3.0,discussions-reply/29950/?track_id=5b293acbc803a042bb2f06e9&src=n,discussion page,discussions-reply
16308,107603,Wed Jun 20 22:18:39 2018,,main-home,main home,main-home
16309,107603,Wed Jun 20 22:18:45 2018,3.0,discussions-about/29950/31198/,discussion page,discussions-about
16311,107616,Fri Jun 29 19:22:04 2018,3.0,discussions-about/30146/,discussion page,discussions-about
16313,107645,Thu Jun 28 19:37:50 2018,3.0,discussions-about/30168/?track_id=5b34b8e0c803a01e611b2178&src=d,discussion page,discussions-about
16316,107645,Thu Jun 28 19:38:58 2018,3.0,discussions-about/30168/?track_id=5b34b8e0c803a01e611b2178&src=d,discussion page,discussions-about
16317,107645,Thu Jun 28 19:40:48 2018,,notification,notification,notification
16318,107645,Thu Jun 28 19:41:10 2018,,profile-edit/107645,profile edit,profile-edit
16319,107645,Thu Jun 28 19:41:11 2018,1.0,profile/107645,profile page,profile
16361,107670,Tue Jun  5 21:05:05 2018,,main-home,main home,main-home
16362,107670,Tue Jun  5 21:05:16 2018,,myGroups,mygroups,myGroups
16363,107670,Tue Jun  5 21:05:17 2018,,group-home/1050,group home,group-home
16364,107670,Tue Jun  5 21:05:18 2018,2.0,group-home/1050,group page,group-home
16365,107670,Tue Jun  5 21:05:44 2018,5.0,event-detail/3631/,event page,event-detail
16368,107670,Tue Jun  5 21:06:03 2018,14.0,document-reader/c141fb95-be74-11e7-a162-022ab9c25860/1050/23581/1050/0/?tabval=anno,document detail,document-reader
16369,107710,Wed Jun  6 19:47:44 2018,3.0,discussions-about/29734/?track_id=5b17b83fc803a01f2c7c4d3d&src=d,discussion page,discussions-about
16371,107710,Thu Jun 21 20:37:09 2018,3.0,discussions-about/29961/?track_id=5b2b7ecec803a0709a5a82da&src=d,discussion page,discussions-about
16666,107799,Sat Jun  2 00:33:57 2018,3.0,discussions-about/29697/0,discussion page,discussions-about
16668,107799,Fri Jun  8 18:59:59 2018,3.0,discussions-about/29787/?track_id=5b1a5afdc803a001b1078ec8&src=d,discussion page,discussions-about
