,user_id,created_time,object_type,url,page_type
153,1,Thu Jun  7 21:29:13 2018,NaN,group-discussions/1813,discussion
154,1,Thu Jun  7 21:29:31 2018,3.0,discussions-about/29783/0/,discussion page
155,1,Thu Jun  7 21:31:09 2018,NaN,document-detail/50351cf0-6a61-11e8-9f39-06e1b31daef4/1813/1813,document detail
156,1,Thu Jun  7 21:31:10 2018,2.0,document-reader/50351cf0-6a61-11e8-9f39-06e1b31daef4/1813/29780/1813/0/?tabval=full,group page
157,1,Thu Jun  7 21:31:13 2018,14.0,document-reader/50351cf0-6a61-11e8-9f39-06e1b31daef4/1813/29780/1813/0/?tabval=full,document detail
158,1,Thu Jun  7 21:31:18 2018,3.0,discussions-about/29783/0/,discussion page
159,1,Thu Jun  7 21:31:23 2018,NaN,group-library/1813/,library
160,1,Thu Jun  7 21:32:18 2018,NaN,group-discussions/1813,discussion
161,1,Thu Jun  7 21:32:53 2018,NaN,group-library/1813/1319,library
162,1,Thu Jun  7 21:32:54 2018,2.0,group-library/1813/1319,group page
163,1,Thu Jun  7 21:41:18 2018,NaN,group-library/1813/,library
164,1,Thu Jun  7 21:41:34 2018,NaN,group-news/1813,group news
165,1,Thu Jun  7 21:44:39 2018,1.0,profile/149915,profile page
166,1,Thu Jun  7 21:46:34 2018,NaN,main-home,main home
167,1,Thu Jun  7 22:12:06 2018,NaN,main-home,main home
168,1,Thu Jun  7 22:46:02 2018,NaN,group-discussions/1813,discussion
169,1,Thu Jun  7 22:46:10 2018,3.0,discussions-about/29783/0/,discussion page
170,1,Thu Jun  7 23:01:00 2018,NaN,main-home,main home
171,1,Thu Jun  7 23:01:14 2018,NaN,group-home/1813,group home
172,1,Thu Jun  7 23:01:14 2018,2.0,group-home/1813,group page
173,1,Thu Jun  7 23:01:33 2018,NaN,group-library/1813/,library
174,1,Fri Jun  8 05:14:21 2018,NaN,main-home,main home
175,1,Fri Jun  8 05:14:59 2018,NaN,group-home/1813,group home
176,1,Fri Jun  8 05:14:59 2018,2.0,group-home/1813,group page
177,1,Fri Jun  8 05:15:00 2018,NaN,group-news/1813,group news
178,1,Fri Jun  8 05:32:54 2018,3.0,discussions-about/29778/0/,discussion page
179,1,Fri Jun  8 05:33:03 2018,NaN,main-home,main home
